Iter 478/915 took 2.72 seconds
Iter 479/915 took 2.77 seconds
Iter 480/915 took 2.70 seconds
Iter 481/915 took 2.79 seconds
Iter 482/915 took 2.79 seconds
Iter 483/915 took 2.76 seconds
Iter 484/915 took 2.75 seconds
Iter 485/915 took 2.68 seconds
Iter 486/915 took 2.63 seconds
Iter 487/915 took 2.64 seconds
Iter 488/915 took 2.88 seconds
Iter 489/915 took 2.88 seconds
Iter 490/915 took 2.90 seconds
Iter 491/915 took 2.98 seconds
Iter 492/915 took 2.86 seconds
Iter 493/915 took 2.89 seconds
Iter 494/915 took 2.88 seconds
Iter 495/915 took 2.82 seconds
Iter 496/915 took 3.00 seconds
Iter 497/915 took 2.89 seconds
Iter 498/915 took 2.98 seconds
Iter 499/915 took 2.92 seconds
Iter 500/915 took 2.93 seconds
Iter 501/915 took 2.84 seconds
Iter 502/915 took 2.90 seconds
Iter 503/915 took 2.80 seconds
Iter 504/915 took 2.70 seconds
Iter 505/915 took 2.77 seconds
Iter 506/915 took 2.75 seconds
Iter 507/915 took 2.72 seconds
Iter 508/915 took 2.69 seconds
Iter 509/915 took 2.83 seconds
Iter 510/915 took 2.67 seconds
Iter 511/915 took 2.77 seconds
Iter 512/915 took 2.74 seconds
Iter 513/915 took 2.75 seconds
Iter 514/915 took 2.73 seconds
Iter 515/915 took 2.72 seconds
Iter 516/915 took 2.93 seconds
Iter 517/915 took 2.92 seconds
Iter 518/915 took 2.87 seconds
Iter 519/915 took 2.81 seconds
Iter 520/915 took 2.78 seconds
Iter 521/915 took 2.85 seconds
Iter 522/915 took 2.88 seconds
Iter 523/915 took 2.82 seconds
Iter 524/915 took 2.80 seconds
Iter 525/915 took 2.84 seconds
Iter 526/915 took 2.67 seconds
Iter 527/915 took 2.73 seconds
Iter 528/915 took 2.70 seconds
Iter 529/915 took 2.67 seconds
Iter 530/915 took 2.60 seconds
Iter 531/915 took 2.64 seconds
Iter 532/915 took 2.70 seconds
Iter 533/915 took 2.65 seconds
Iter 534/915 took 2.66 seconds
Iter 535/915 took 2.60 seconds
Iter 536/915 took 2.69 seconds
Iter 537/915 took 2.60 seconds
Iter 538/915 took 2.71 seconds
Iter 539/915 took 2.63 seconds
Iter 540/915 took 2.69 seconds
Iter 541/915 took 2.73 seconds
Iter 542/915 took 2.74 seconds
Iter 543/915 took 2.63 seconds
Iter 544/915 took 2.63 seconds
Iter 545/915 took 2.64 seconds
Iter 546/915 took 2.67 seconds
Iter 547/915 took 2.74 seconds
Iter 548/915 took 2.70 seconds
Iter 549/915 took 2.75 seconds
Iter 550/915 took 2.72 seconds
Iter 551/915 took 2.68 seconds
Iter 552/915 took 2.81 seconds
Iter 553/915 took 2.68 seconds
