Iter 593/2441 took 2.39 seconds
Iter 594/2441 took 2.34 seconds
Iter 595/2441 took 2.34 seconds
Iter 596/2441 took 2.40 seconds
Iter 597/2441 took 2.38 seconds
Iter 598/2441 took 2.36 seconds
Iter 599/2441 took 2.39 seconds
Iter 600/2441 took 2.42 seconds
Iter 601/2441 took 2.33 seconds
Iter 602/2441 took 2.36 seconds
Iter 603/2441 took 2.34 seconds
Iter 604/2441 took 2.40 seconds
Iter 605/2441 took 2.36 seconds
Iter 606/2441 took 2.36 seconds
Iter 607/2441 took 2.39 seconds
Iter 608/2441 took 2.33 seconds
Iter 609/2441 took 2.36 seconds
Iter 610/2441 took 2.34 seconds
Iter 611/2441 took 2.41 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_004_gate_acquisition_safety/level3_loop_004_gate_acquisition_safety_step_020000000.ckpt at global_step=20021248
Iter 612/2441 took 2.41 seconds
Iter 613/2441 took 2.46 seconds
Iter 614/2441 took 2.44 seconds
Iter 615/2441 took 2.38 seconds
Iter 616/2441 took 2.39 seconds
Iter 617/2441 took 2.42 seconds
Iter 618/2441 took 2.34 seconds
Iter 619/2441 took 2.29 seconds
Iter 620/2441 took 2.43 seconds
Iter 621/2441 took 2.42 seconds
Iter 622/2441 took 2.42 seconds
Iter 623/2441 took 2.43 seconds
Iter 624/2441 took 2.46 seconds
Iter 625/2441 took 2.38 seconds
Iter 626/2441 took 2.39 seconds
Iter 627/2441 took 2.37 seconds
