Iter 521/610 took 3.01 seconds
Iter 522/610 took 2.75 seconds
Iter 523/610 took 2.69 seconds
Iter 524/610 took 2.76 seconds
Iter 525/610 took 2.74 seconds
Iter 526/610 took 2.74 seconds
Iter 527/610 took 2.86 seconds
Iter 528/610 took 2.77 seconds
Iter 529/610 took 2.81 seconds
Iter 530/610 took 2.89 seconds
Iter 531/610 took 2.84 seconds
Iter 532/610 took 2.79 seconds
Iter 533/610 took 2.93 seconds
Iter 534/610 took 2.98 seconds
Iter 535/610 took 2.94 seconds
Iter 536/610 took 2.84 seconds
Iter 537/610 took 2.80 seconds
Iter 538/610 took 2.79 seconds
Iter 539/610 took 2.79 seconds
Iter 540/610 took 2.93 seconds
Iter 541/610 took 2.82 seconds
Iter 542/610 took 2.67 seconds
Iter 543/610 took 2.69 seconds
Iter 544/610 took 2.65 seconds
Iter 545/610 took 2.65 seconds
Iter 546/610 took 2.71 seconds
Iter 547/610 took 2.67 seconds
Iter 548/610 took 2.71 seconds
Iter 549/610 took 2.75 seconds
Iter 550/610 took 2.75 seconds
Iter 551/610 took 2.76 seconds
Iter 552/610 took 2.77 seconds
Iter 553/610 took 2.72 seconds
Iter 554/610 took 2.74 seconds
Iter 555/610 took 2.78 seconds
Iter 556/610 took 2.82 seconds
Iter 557/610 took 2.92 seconds
Iter 558/610 took 3.06 seconds
